file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes,size_category,analysis_status,error_message
1,001_getid3.lib.php,llm_generated/gemini_2_5_flash/001_getid3.lib.php,1366,46.9,5,True,extra_large,success,
2,002_module.audio-video.asf.php,llm_generated/gemini_2_5_flash/002_module.audio-video.asf.php,2014,127.2,9,True,extra_large,success,
3,003_wp-db.php,llm_generated/gemini_2_5_flash/003_wp-db.php,1707,49.7,0,False,extra_large,error,Syntax error; unexpected '*'; Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected T_PUBLIC; Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';' (line 501)
4,004_class-IXR.php,llm_generated/gemini_2_5_flash/004_class-IXR.php,1105,35.5,4,True,extra_large,success,
5,005_class-snoopy.php,llm_generated/gemini_2_5_flash/005_class-snoopy.php,1249,38.7,0,False,extra_large,error,Syntax error; unexpected T_ENDIF; expecting '}' (line 1248)
6,006_widgets.php,llm_generated/gemini_2_5_flash/006_widgets.php,1526,48.6,5,True,extra_large,success,
7,007_class-wp.php,llm_generated/gemini_2_5_flash/007_class-wp.php,804,24.7,5,True,large,success,
8,008_wp-login.php,llm_generated/gemini_2_5_flash/008_wp-login.php,952,33.0,5,True,large,success,
9,009_getid3.php,llm_generated/gemini_2_5_flash/009_getid3.php,1764,63.5,4,True,extra_large,success,
10,010_class-wp-theme.php,llm_generated/gemini_2_5_flash/010_class-wp-theme.php,1290,41.2,0,False,extra_large,error,Syntax error; unexpected T_ARRAY; expecting T_PAAMAYIM_NEKUDOTAYIM; Syntax error; unexpected T_ARRAY; expecting T_PAAMAYIM_NEKUDOTAYIM (line 318)
11,011_translations.php,llm_generated/gemini_2_5_flash/011_translations.php,449,14.9,1,True,medium,success,
12,012_module.audio-video.riff.php,llm_generated/gemini_2_5_flash/012_module.audio-video.riff.php,2427,110.6,7,True,extra_large,success,
13,013_file.php,llm_generated/gemini_2_5_flash/013_file.php,1192,45.8,5,True,extra_large,success,
14,014_module.tag.id3v2.php,llm_generated/gemini_2_5_flash/014_module.tag.id3v2.php,3412,137.1,9,True,extra_large,success,
15,015_Diff.php,llm_generated/gemini_2_5_flash/015_Diff.php,466,13.6,1,True,medium,success,
16,016_module.audio.ac3.php,llm_generated/gemini_2_5_flash/016_module.audio.ac3.php,415,15.1,5,True,medium,success,
17,017_press-this.php,llm_generated/gemini_2_5_flash/017_press-this.php,693,26.6,5,True,large,success,
18,018_streams.php,llm_generated/gemini_2_5_flash/018_streams.php,293,8.7,2,True,medium,success,
19,019_atomlib.php,llm_generated/gemini_2_5_flash/019_atomlib.php,498,18.8,3,True,medium,success,
20,020_class-ftp.php,llm_generated/gemini_2_5_flash/020_class-ftp.php,1040,32.4,5,True,large,success,
21,021_class-pop3.php,llm_generated/gemini_2_5_flash/021_class-pop3.php,681,24.6,0,False,large,success,
22,022_class-wp-customize-setting.php,llm_generated/gemini_2_5_flash/022_class-wp-customize-setting.php,565,15.6,5,True,large,success,
23,023_module.tag.id3v1.php,llm_generated/gemini_2_5_flash/023_module.tag.id3v1.php,434,14.5,2,True,medium,success,
24,024_edit-form-advanced.php,llm_generated/gemini_2_5_flash/024_edit-form-advanced.php,635,29.3,4,True,large,success,
25,025_widgets.php,llm_generated/gemini_2_5_flash/025_widgets.php,450,15.5,3,True,medium,success,
26,026_Source.php,llm_generated/gemini_2_5_flash/026_Source.php,493,19.2,3,True,large,success,
27,027_upload.php,llm_generated/gemini_2_5_flash/027_upload.php,309,12.6,1,True,medium,success,
28,028_themes.php,llm_generated/gemini_2_5_flash/028_themes.php,280,10.9,2,True,medium,success,
29,029_module.audio.ogg.php,llm_generated/gemini_2_5_flash/029_module.audio.ogg.php,402,19.3,0,False,large,error,Syntax error; unexpected T_STATIC; Syntax error; unexpected T_VARIABLE; expecting ')'; Syntax error; unexpected T_ARRAY; expecting T_PAAMAYIM_NEKUDOTAYIM (line 353)
30,030_class-json.php,llm_generated/gemini_2_5_flash/030_class-json.php,932,39.7,3,True,large,success,
31,031_class-wp-plugins-list-table.php,llm_generated/gemini_2_5_flash/031_class-wp-plugins-list-table.php,647,24.6,4,True,large,success,
32,032_class-wp-comments-list-table.php,llm_generated/gemini_2_5_flash/032_class-wp-comments-list-table.php,642,22.4,5,True,large,success,
33,033_ms-settings.php,llm_generated/gemini_2_5_flash/033_ms-settings.php,217,8.6,1,True,medium,success,
34,034_inline.php,llm_generated/gemini_2_5_flash/034_inline.php,194,6.5,0,False,medium,success,
35,035_wp-trackback.php,llm_generated/gemini_2_5_flash/035_wp-trackback.php,143,4.8,2,True,small,success,
36,036_module.tag.apetag.php,llm_generated/gemini_2_5_flash/036_module.tag.apetag.php,380,16.0,2,True,medium,success,
37,037_class-wp-ms-sites-list-table.php,llm_generated/gemini_2_5_flash/037_class-wp-ms-sites-list-table.php,433,16.2,1,True,medium,success,
38,038_class.wp-styles.php,llm_generated/gemini_2_5_flash/038_class.wp-styles.php,220,6.3,2,True,medium,success,
39,039_class-wp-upgrader-skins.php,llm_generated/gemini_2_5_flash/039_class-wp-upgrader-skins.php,808,31.7,3,True,large,success,
40,040_class-wp-media-list-table.php,llm_generated/gemini_2_5_flash/040_class-wp-media-list-table.php,583,19.1,1,True,large,success,
41,041_module.tag.lyrics3.php,llm_generated/gemini_2_5_flash/041_module.tag.lyrics3.php,283,12.1,2,True,medium,success,
42,042_image-edit.php,llm_generated/gemini_2_5_flash/042_image-edit.php,851,29.6,4,True,large,success,
43,043_image.php,llm_generated/gemini_2_5_flash/043_image.php,593,19.6,3,True,large,success,
44,044_class-wp-image-editor.php,llm_generated/gemini_2_5_flash/044_class-wp-image-editor.php,461,12.0,0,False,medium,success,
45,045_Locator.php,llm_generated/gemini_2_5_flash/045_Locator.php,346,14.0,2,True,medium,success,
46,046_module.audio-video.flv.php,llm_generated/gemini_2_5_flash/046_module.audio-video.flv.php,727,23.5,1,True,large,success,
47,047_update-core.php,llm_generated/gemini_2_5_flash/047_update-core.php,478,21.4,0,False,large,error,Syntax error; unexpected T_STRING; expecting ';'; Syntax error; unexpected '"'; Syntax error; unexpected '('; expecting T_VARIABLE or '{' or '$'; Syntax error; unexpected '.'; expecting '[' or T_OBJECT_OPERATOR or T_NULLSAFE_OBJECT_OPERATOR or '{'; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected '}'; Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; Syntax error; unexpected '}'; expecting EOF (line 124)
48,048_about.php,llm_generated/gemini_2_5_flash/048_about.php,193,7.6,2,True,small,success,
49,049_Parser.php,llm_generated/gemini_2_5_flash/049_Parser.php,420,12.5,0,False,medium,error,Syntax error; unexpected '?'; expecting T_PAAMAYIM_NEKUDOTAYIM; Syntax error; unexpected '?'; expecting T_PAAMAYIM_NEKUDOTAYIM (line 141)
50,050_class-oembed.php,llm_generated/gemini_2_5_flash/050_class-oembed.php,592,22.8,3,True,large,success,
51,051_ms-deprecated.php,llm_generated/gemini_2_5_flash/051_ms-deprecated.php,397,11.9,1,True,medium,success,
52,052_class-wp-ms-themes-list-table.php,llm_generated/gemini_2_5_flash/052_class-wp-ms-themes-list-table.php,484,15.0,3,True,medium,success,
53,053_class-wp-themes-list-table.php,llm_generated/gemini_2_5_flash/053_class-wp-themes-list-table.php,306,10.2,4,True,medium,success,
54,054_nav-menu.php,llm_generated/gemini_2_5_flash/054_nav-menu.php,918,28.6,0,False,large,error,Syntax error; unexpected T_ARRAY; expecting T_PAAMAYIM_NEKUDOTAYIM (line 562)
55,055_rss.php,llm_generated/gemini_2_5_flash/055_rss.php,929,25.7,5,True,large,success,
56,056_class.akismet.php,llm_generated/gemini_2_5_flash/056_class.akismet.php,983,37.5,3,True,large,success,
57,057_class-wp-customize-manager.php,llm_generated/gemini_2_5_flash/057_class-wp-customize-manager.php,1284,33.9,0,False,extra_large,error,Syntax error; unexpected T_VARIABLE; expecting '[' or T_OBJECT_OPERATOR or T_NULLSAFE_OBJECT_OPERATOR or '{'; Syntax error; unexpected T_VARIABLE; expecting '[' or T_OBJECT_OPERATOR or T_NULLSAFE_OBJECT_OPERATOR or '{'; Syntax error; unexpected T_VARIABLE; expecting '[' or T_OBJECT_OPERATOR or T_NULLSAFE_OBJECT_OPERATOR or '{'; Syntax error; unexpected EOF (line 442)
58,058_session.php,llm_generated/gemini_2_5_flash/058_session.php,423,10.6,2,True,medium,success,
59,059_credits.php,llm_generated/gemini_2_5_flash/059_credits.php,198,7.5,1,True,small,success,
60,060_themes.php,llm_generated/gemini_2_5_flash/060_themes.php,381,16.5,2,True,medium,success,
61,061_class.wp-scripts.php,llm_generated/gemini_2_5_flash/061_class.wp-scripts.php,262,7.0,3,True,medium,success,
