file_id,filename,original_path,lines_of_code,file_size_kb,php_version_changes,has_version_changes,size_category,analysis_status,error_message
1,001_getid3.lib.php,llm_generated/gpt_5_codex/001_getid3.lib.php,1400,45.1,0,False,extra_large,error,Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected '}'; expecting EOF (line 151)
2,002_module.audio-video.asf.php,llm_generated/gpt_5_codex/002_module.audio-video.asf.php,2010,127.3,7,True,extra_large,success,
3,003_wp-db.php,llm_generated/gpt_5_codex/003_wp-db.php,2187,60.6,7,True,extra_large,success,
4,004_class-IXR.php,llm_generated/gpt_5_codex/004_class-IXR.php,1047,32.3,0,False,extra_large,error,Syntax error; unexpected '$'; expecting T_VARIABLE; Syntax error; unexpected T_PUBLIC; Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected '}'; expecting EOF (line 182)
5,005_class-snoopy.php,llm_generated/gpt_5_codex/005_class-snoopy.php,1260,38.9,5,True,extra_large,success,
6,006_widgets.php,llm_generated/gpt_5_codex/006_widgets.php,1558,48.4,6,True,extra_large,success,
7,007_class-wp.php,llm_generated/gpt_5_codex/007_class-wp.php,745,18.4,4,True,large,success,
8,008_wp-login.php,llm_generated/gpt_5_codex/008_wp-login.php,1134,35.8,2,True,large,success,
9,009_getid3.php,llm_generated/gpt_5_codex/009_getid3.php,1722,59.2,0,False,extra_large,error,Syntax error; unexpected T_PUBLIC; Syntax error; unexpected T_PUBLIC; Syntax error; unexpected T_PUBLIC; Syntax error; unexpected T_PUBLIC; Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected T_ELSE; Syntax error; unexpected T_DOUBLE_ARROW; Syntax error; unexpected ';'; Syntax error; unexpected ';'; Syntax error; unexpected '}'; expecting EOF (line 1079)
10,010_class-wp-theme.php,llm_generated/gpt_5_codex/010_class-wp-theme.php,1254,40.2,4,True,extra_large,success,
11,011_translations.php,llm_generated/gpt_5_codex/011_translations.php,370,10.6,1,True,medium,success,
12,012_module.audio-video.riff.php,llm_generated/gpt_5_codex/012_module.audio-video.riff.php,2415,108.4,0,False,extra_large,error,Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; expecting ']'; Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; Syntax error; unexpected T_STRING; expecting ')'; Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; Syntax error; unexpected ':'; Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; Syntax error; unexpected T_CONSTANT_ENCAPSED_STRING; Syntax error; unexpected T_CASE; Syntax error; unexpected T_DEFAULT; Syntax error; unexpected T_DEFAULT; Syntax error; unexpected T_IF (line 601)
13,013_file.php,llm_generated/gpt_5_codex/013_file.php,1166,46.2,5,True,extra_large,success,
14,014_module.tag.id3v2.php,llm_generated/gpt_5_codex/014_module.tag.id3v2.php,3193,120.8,0,False,extra_large,error,Syntax error; unexpected T_PUBLIC; Syntax error; unexpected '`'; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; expecting '-' or T_STRING or T_VARIABLE or T_NUM_STRING; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE (line 519)
15,015_Diff.php,llm_generated/gpt_5_codex/015_Diff.php,437,12.1,1,True,medium,success,
16,016_module.audio.ac3.php,llm_generated/gpt_5_codex/016_module.audio.ac3.php,438,17.2,4,True,medium,success,
17,017_press-this.php,llm_generated/gpt_5_codex/017_press-this.php,759,27.5,2,True,large,success,
18,018_streams.php,llm_generated/gpt_5_codex/018_streams.php,297,7.4,2,True,medium,success,
19,019_atomlib.php,llm_generated/gpt_5_codex/019_atomlib.php,374,11.8,1,True,medium,success,
20,020_class-ftp.php,llm_generated/gpt_5_codex/020_class-ftp.php,1225,39.0,0,False,large,error,Syntax error; unexpected T_STRING; expecting ')'; Syntax error; unexpected T_STRING; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; expecting '-' or T_STRING or T_VARIABLE or T_NUM_STRING; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected T_ENCAPSED_AND_WHITESPACE; Syntax error; unexpected ')'; Syntax error; unexpected T_ELSE (line 954)
21,021_class-pop3.php,llm_generated/gpt_5_codex/021_class-pop3.php,698,16.8,1,True,large,success,
22,022_class-wp-customize-setting.php,llm_generated/gpt_5_codex/022_class-wp-customize-setting.php,606,14.5,5,True,large,success,
23,023_module.tag.id3v1.php,llm_generated/gpt_5_codex/023_module.tag.id3v1.php,350,12.3,1,True,medium,success,
24,024_edit-form-advanced.php,llm_generated/gpt_5_codex/024_edit-form-advanced.php,669,28.8,3,True,large,success,
25,025_widgets.php,llm_generated/gpt_5_codex/025_widgets.php,477,16.2,2,True,medium,success,
26,026_Source.php,llm_generated/gpt_5_codex/026_Source.php,450,19.5,3,True,large,success,
27,027_upload.php,llm_generated/gpt_5_codex/027_upload.php,377,13.1,0,False,medium,success,
28,028_themes.php,llm_generated/gpt_5_codex/028_themes.php,312,11.5,1,True,medium,success,
29,029_module.audio.ogg.php,llm_generated/gpt_5_codex/029_module.audio.ogg.php,665,36.1,2,True,large,success,
30,030_class-json.php,llm_generated/gpt_5_codex/030_class-json.php,686,26.4,5,True,large,success,
31,031_class-wp-plugins-list-table.php,llm_generated/gpt_5_codex/031_class-wp-plugins-list-table.php,644,24.6,4,True,large,success,
32,032_class-wp-comments-list-table.php,llm_generated/gpt_5_codex/032_class-wp-comments-list-table.php,688,22.5,4,True,large,success,
33,033_ms-settings.php,llm_generated/gpt_5_codex/033_ms-settings.php,221,7.9,0,False,medium,error,Syntax error; unexpected '<' (line 221)
34,034_inline.php,llm_generated/gpt_5_codex/034_inline.php,155,4.4,1,True,medium,success,
35,035_wp-trackback.php,llm_generated/gpt_5_codex/035_wp-trackback.php,151,3.9,1,True,small,success,
36,036_module.tag.apetag.php,llm_generated/gpt_5_codex/036_module.tag.apetag.php,400,15.9,1,True,medium,success,
37,037_class-wp-ms-sites-list-table.php,llm_generated/gpt_5_codex/037_class-wp-ms-sites-list-table.php,611,18.5,1,True,medium,success,
38,038_class.wp-styles.php,llm_generated/gpt_5_codex/038_class.wp-styles.php,265,7.4,0,False,medium,success,
39,039_class-wp-upgrader-skins.php,llm_generated/gpt_5_codex/039_class-wp-upgrader-skins.php,899,29.5,2,True,large,success,
